customer_id,question,day,create_dt
CUSTOMER000000024627,가족과 함께하는,4,2024-02-18 04:02:58.824
CUSTOMER000000024554,,1,2024-02-18 08:27:27.135
CUSTOMER000000024668,,3,2024-02-18 09:07:56.105
CUSTOMER000000024669,아름다운,1,2024-02-18 11:00:51.876
CUSTOMER000000024669,꿈같은,1,2024-02-18 11:02:01.359
CUSTOMER000000024669,쿨한,1,2024-02-18 11:02:59.998
CUSTOMER000000024646,배우자,3,2024-02-18 11:10:20.512
CUSTOMER000000024646,배우자,3,2024-02-18 11:11:06.182
CUSTOMER000000024646,배우자,3,2024-02-18 11:12:29.189
CUSTOMER000000024677,,3,2024-02-18 15:03:07.406
CUSTOMER000000024677,한라산등산,3,2024-02-18 15:03:33.001
CUSTOMER000000024679,일출 일몰여행,5,2024-02-18 16:11:44.288
CUSTOMER000000024680,,5,2024-02-18 16:12:26.172
CUSTOMER000000024680,,1,2024-02-18 16:25:04.764
CUSTOMER000000024680,,5,2024-02-18 16:25:16.022
CUSTOMER000000024679,,5,2024-02-18 16:28:42.442
CUSTOMER000000024681,친구,3,2024-02-18 18:23:20.453
CUSTOMER000000024682,아이와 함께할수 있는,4,2024-02-18 18:40:12.575
CUSTOMER000000024683,우도,3,2024-02-18 19:25:23.987
CUSTOMER000000024683,숙소가 월정리이고 우도를 가는,3,2024-02-18 19:26:50.276
CUSTOMER000000024689,,4,2024-02-18 21:07:30.939
CUSTOMER000000024690,,3,2024-02-18 21:43:35.454
CUSTOMER000000024691,,5,2024-02-18 21:57:43.04
CUSTOMER000000024692,,4,2024-02-18 22:12:20.632
CUSTOMER000000024692,,4,2024-02-18 22:14:21.716
CUSTOMER000000024679,,5,2024-02-18 22:45:50.715
CUSTOMER000000024696,아기랑 함께,3,2024-02-19 00:13:59.227
CUSTOMER000000024697,남자친구랑 힐링,4,2024-02-19 00:14:33.235
CUSTOMER000000024696,아기랑 함께,3,2024-02-19 00:14:53.237
CUSTOMER000000024696,아기랑 함께,3,2024-02-19 00:17:33.003
CUSTOMER000000024691,,5,2024-02-19 00:37:06.587
CUSTOMER000000024627,즐거운,3,2024-02-19 03:43:22.836
CUSTOMER000000023823,비,6,2024-02-19 07:44:05.177
CUSTOMER000000024704,가족과,4,2024-02-19 10:08:00.971
CUSTOMER000000024710,,9,2024-02-19 12:53:00.137
CUSTOMER000000024714,,3,2024-02-19 14:12:05.037
CUSTOMER000000024714,,3,2024-02-19 14:19:39.408
CUSTOMER000000024714,,4,2024-02-19 14:21:29.012
CUSTOMER000000024715,서북부,4,2024-02-19 14:51:25.859
CUSTOMER000000024715,서북부쪽 인스타감성,4,2024-02-19 14:53:24.121
CUSTOMER000000024715,서북부 인스타감성 벤티모호텔,4,2024-02-19 14:56:57.751
CUSTOMER000000024716,,4,2024-02-19 15:03:05.808
CUSTOMER000000024717,아이와 함께할수이ㅛ는,4,2024-02-19 15:11:03.289
CUSTOMER000000024681,친구,3,2024-02-19 15:49:24.792
CUSTOMER000000024720,부모님과,9,2024-02-19 18:18:54.732
CUSTOMER000000024720,부모님과 함께하는,9,2024-02-19 18:36:21.949
CUSTOMER000000024721,,6,2024-02-19 18:49:10.259
CUSTOMER000000024725,,3,2024-02-19 20:44:51.162
CUSTOMER000000024726,제주공항 근처 대중교통으로 가는 1인여행,3,2024-02-19 21:22:53.014
CUSTOMER000000024727,,7,2024-02-19 22:08:41.45
CUSTOMER000000024728,,4,2024-02-19 22:16:17.649
CUSTOMER000000024729,연인,9,2024-02-19 22:32:13.711
CUSTOMER000000024730,아이와 함께,3,2024-02-19 23:31:11.569
CUSTOMER000000024731,60대 부부 ,3,2024-02-19 23:50:50.69
CUSTOMER000000024739,,4,2024-02-20 08:44:15.835
CUSTOMER000000024744,혼자,9,2024-02-20 12:59:55.214
CUSTOMER000000024746,가족들과,3,2024-02-20 13:07:46.357
CUSTOMER000000024646,배우자,1,2024-02-20 13:33:12.537
CUSTOMER000000024646,배우자,3,2024-02-20 13:33:25.119
CUSTOMER000000024646,배우자,3,2024-02-20 13:35:35.744
CUSTOMER000000024748,부ㅁㅡ,3,2024-02-20 15:53:38.972
CUSTOMER000000024720,부모님과 함께 하는서쪽 여행계획,6,2024-02-20 15:55:21.939
CUSTOMER000000024749,바다뷰,1,2024-02-20 16:06:07.695
CUSTOMER000000024752,,3,2024-02-20 17:16:33.413
CUSTOMER000000024753,아이,1,2024-02-20 17:22:51.415
CUSTOMER000000024754,,4,2024-02-20 18:15:26.509
CUSTOMER000000024755,,3,2024-02-20 18:41:31.161
CUSTOMER000000024755,아이랑,3,2024-02-20 18:43:13.374
CUSTOMER000000024755,,3,2024-02-20 18:45:55.512
CUSTOMER000000024756,애월, 서귀포,3,2024-02-20 19:43:26.341
CUSTOMER000000024756,애월, 서귀포,3,2024-02-20 19:43:45.173
CUSTOMER000000024756,애월, 서귀포가족,3,2024-02-20 19:52:38.57
CUSTOMER000000024696,,3,2024-02-20 23:10:12.752
CUSTOMER000000024763,,5,2024-02-21 00:01:50.883
CUSTOMER000000024765,,4,2024-02-21 01:03:24.338
CUSTOMER000000024765,연인과 함께하는,4,2024-02-21 01:04:09.659
CUSTOMER000000024766,,3,2024-02-21 01:29:15.629
CUSTOMER000000024741,,3,2024-02-21 13:06:17.661
CUSTOMER000000024771,뚜벅이,4,2024-02-21 13:12:06.214
CUSTOMER000000024771,뚜벅이,4,2024-02-21 13:12:23.498
CUSTOMER000000024771,혼자 뚜벅이,4,2024-02-21 13:14:03.712
CUSTOMER000000024755,아이랑,1,2024-02-21 17:36:01.373
CUSTOMER000000024756,안덕,3,2024-02-21 19:43:26.408
CUSTOMER000000024756,서부,3,2024-02-21 19:44:23.586
CUSTOMER000000024776,아이와함께할수있는,4,2024-02-21 19:57:54.164
CUSTOMER000000024780,,3,2024-02-21 22:26:37.621
CUSTOMER000000024780,,3,2024-02-21 22:28:37.598
CUSTOMER000000024780,,3,2024-02-21 22:31:35.231
CUSTOMER000000024756,오름,3,2024-02-21 22:36:02.333
CUSTOMER000000024664,연인과 함께,4,2024-02-21 23:21:14.803
CUSTOMER000000024785,,4,2024-02-22 01:34:26.173
CUSTOMER000000024627,,4,2024-02-22 03:56:35.387
CUSTOMER000000024627,,4,2024-02-22 04:00:08.638
